Accession ID	Virus name	Location
EPI_ISL_402119	BetaCoV/Wuhan/IVDC-HB-01/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402121	BetaCoV/Wuhan/IVDC-HB-05/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402120	BetaCoV/Wuhan/IVDC-HB-04/2020	Asia / China / Hubei / Wuhan
EPI_ISL_402123	BetaCoV/Wuhan/IPBCAMS-WH-01/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402124	BetaCoV/Wuhan/WIV04/2019	Asia / China / Hubei / Wuhan
EPI_ISL_403962	BetaCoV/Nonthaburi/61/2020	Asia / Thailand / Nonthaburi
EPI_ISL_403963	BetaCoV/Nonthaburi/74/2020	Asia / Thailand / Nonthaburi
EPI_ISL_402127	BetaCoV/Wuhan/WIV02/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402128	BetaCoV/Wuhan/WIV05/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402129	BetaCoV/Wuhan/WIV06/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402130	BetaCoV/Wuhan/WIV07/2019	Asia / China / Hubei / Wuhan
EPI_ISL_403932	BetaCoV/Guangdong/20SF012/2020	Asia / China / Guandong / Shenzhen
EPI_ISL_403933	BetaCoV/Guangdong/20SF013/2020	Asia / China / Guandong / Shenzhen
EPI_ISL_403934	BetaCoV/Guangdong/20SF014/2020	Asia / China / Guandong / Shenzhen
EPI_ISL_403935	BetaCoV/Guangdong/20SF025/2020	Asia / China / Guangdong / Shenzhen
EPI_ISL_403936	BetaCoV/Guangdong/20SF028/2020	Asia / China / Guangdong / Zhuhai
EPI_ISL_403937	BetaCoV/Guangdong/20SF040/2020	Asia / China / Guangdong / Zhuhai
EPI_ISL_403930	BetaCoV/Wuhan/IPBCAMS-WH-03/2019	Asia / China / Hubei / Wuhan
EPI_ISL_402132	BetaCoV/Wuhan/HBCDC-HB-01/2019	Asia / China / Hubei / Wuhan
EPI_ISL_404227	BetaCoV/Zhejiang/WZ-01/2020	Asia / China / Zhejiang
