Accession ID	Virus name	Host	Virus lineage
AC_000192	Murine hepatitis virus strain JHM	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
AF201929	Murine hepatitis virus strain 2	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
AY278488	SARS coronavirus BJ01	Catarrhini	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY278491	SARS coronavirus HKU-39849	Mammalia	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY278554	SARS coronavirus CUHK-W1	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY278741	SARS coronavirus Urbani	Catarrhini	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY350750	SARS coronavirus PUMC01	Euarchontoglires	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY357075	SARS coronavirus PUMC02	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY357076	SARS coronavirus PUMC03	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY394850	SARS coronavirus WHU	Catarrhini	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY515512	SARS coronavirus HC/SZ/61/03	Paguma larvata	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY518894	Human group 1 coronavirus associated with pneumonia	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Setracovirus; Human coronavirus NL63
AY646283	Avian infectious bronchitis virus partridge/GD/S14/2003	Aves	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus; Infectious bronchitis virus
AY864805	SARS coronavirus BJ162	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
AY864806	SARS coronavirus BJ202	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
D13096	Canine coronavirus	Canis lupus familiaris	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1
DQ011855	Porcine hemagglutinating encephalomyelitis virus	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1
DQ412042	Bat SARS CoV Rf1/2004	Rhinolophus ferrumequinum	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
DQ412043	Bat SARS CoV Rm1/2004	Rhinolophus macrotis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
DQ640652	SARS coronavirus GDH-BJH01	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
DQ648794	Bat coronavirus (BtCoV/133/2005)	Tylonycteris pachypus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Tylonycteris bat coronavirus HKU4
DQ648856	Bat CoV 273/2005	Rhinolophus ferrumequinum	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS CoV Rf1/2004
DQ648857	Bat CoV 279/2005	Rhinolophus macrotis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS CoV Rm1/2004
